0,1,2,3,4,5
Seodaemun-gu,2023-01-13,6171,Jongno-gu,2023-04-26,4350.0
Dongjak-gu,2023-01-13,164641,Gwangjin-gu,2023-04-26,9316.0
Jongno-gu,2023-01-13,21807,Seongdong-gu,2023-04-26,1794.0
Mapo-gu,2023-01-13,105244,Gangdong-gu,2023-04-26,6082.0
Eunpyeong-gu,2023-01-13,6081,Gangseo-gu,2023-04-26,6348.0
Gangbuk-gu,2023-01-13,91713,Seoul_Grand_Park,2023-04-26,5881.0
Jungnang-gu,2023-01-13,44278,Jung-gu,2023-04-26,31774.0
Jung-gu,2023-01-13,72557,Gangbuk-gu,2023-04-26,2800.0
Gwanak-gu,2023-01-14,34745,Yangcheon-gu,2023-04-26,2977.0
Seodaemun-gu,2023-01-14,5932,Gangnam-gu,2023-04-26,21437.0
Gangdong-gu,2023-01-14,101726,Gwanak-gu,2023-04-26,2390.0
Seoul_Grand_Park,2023-01-14,16328,Seodaemun-gu,2023-04-26,3593.0
Yangcheon-gu,2023-01-14,103534,Yongsan-gu,2023-04-26,297.0
Eunpyeong-gu,2023-01-14,5369,Eunpyeong-gu,2023-04-26,3143.0
Mapo-gu,2023-01-14,111649,Mapo-gu,2023-04-26,1535.0
Gwangjin-gu,2023-01-14,82620,Gangseo-gu,2023-04-27,5557.0
Dobong-gu,2023-01-14,116986,Jongno-gu,2023-04-27,3436.0
Gangnam-gu,2023-01-14,126128,Seocho-gu,2023-04-27,23775.0
Geumcheon-gu,2023-01-14,94639,Seodaemun-gu,2023-04-27,2905.0
Dongjak-gu,2023-01-14,160520,Seongdong-gu,2023-04-27,1890.0
Seocho-gu,2023-01-14,61385,Gwangjin-gu,2023-04-27,8544.0
Yongsan-gu,2023-01-14,778,Gangnam-gu,2023-04-27,21955.0
Seongdong-gu,2023-01-14,5316,Songpa-gu,2023-04-27,1788.0
Jungnang-gu,2023-01-14,43475,Gwanak-gu,2023-04-27,2764.0
Jung-gu,2023-01-14,75706,Mapo-gu,2023-04-27,1266.0
Gangseo-gu,2023-01-14,52660,Seoul_Grand_Park,2023-04-27,7533.0
Jongno-gu,2023-01-14,24399,Jung-gu,2023-04-27,31462.0
Nowon-gu,2023-01-14,52542,Gangdong-gu,2023-04-27,5029.0
Guro-gu,2023-01-14,128009,Yangcheon-gu,2023-04-27,2659.0
Gangbuk-gu,2023-01-14,91902,Yongsan-gu,2023-04-27,281.0
Songpa-gu,2023-01-14,27638,Gangbuk-gu,2023-04-27,2872.0
Gangdong-gu,2023-01-15,93528,Eunpyeong-gu,2023-04-27,2626.0
Mapo-gu,2023-01-15,105501,Yangcheon-gu,2023-04-28,2061.0
Gangbuk-gu,2023-01-15,82878,Gangdong-gu,2023-04-28,4557.0
Yangcheon-gu,2023-01-15,93650,Gwanak-gu,2023-04-28,1920.0
Dongjak-gu,2023-01-15,129501,Seodaemun-gu,2023-04-28,2592.0
Jung-gu,2023-01-15,58074,Songpa-gu,2023-04-28,1818.0
Jongno-gu,2023-01-15,6906,Seoul_Grand_Park,2023-04-28,7585.0
